English,Hebrew
abandon,לִנְטוֹשׁ
ability,יְכוֹלֶת
able,יכול
abortion,הפלה
about,על אודות
above,מֵעַל
abroad,מחוץ לארץ
absence,הֶעְדֵר
absolute,מוּחלָט
absolutely,בהחלט
absorb,לִסְפּוֹג
abuse,התעללות
academic,אקדמי
accept,לְקַבֵּל
access,גִישָׁה
accident,תְאוּנָה
accompany,ללוות
accomplish,לְהַשִׂיג
according,לפי
account,חֶשְׁבּוֹן
accurate,מְדוּיָק
accuse,לְהַאֲשִׁים
achieve,לְהַשִׂיג
achievement,הֶשֵׂג
acid,חוּמצָה
acknowledge,לְהוֹדוֹת
acquire,לִרְכּוֹשׁ
across,ברחבי
act,פעולה
action,פעולה
active,פָּעִיל
activity,פעילות
actor,שַׂחְקָן
actress,שַׂחְקָנִית
actual,מַמָשִׁי
actually,בעצם
ad,מוֹדָעָה
adapt,לְהִסְתָגֵל
add,לְהוֹסִיף
addition,חיבור
additional,נוֹסָף
address,כתובת
adequate,נאות
adjust,לְהַתְאִים
adjustment,התאמה
administration,מִנהָל
administrator,מנהל
admire,לְהִתְפַּעֵל
admission,הוֹדָאָה
admit,להתוודות
adolescent,מִתבַּגֵר
adopt,לְאַמֵץ
adult,מְבוּגָר
advance,לְקַדֵם
advanced,מִתקַדֵם
advantage,יתרון
adventure,הַרפַּתקָה
advertising,פִּרסוּם
advice,עֵצָה
advise,לייעץ עצה
adviser,יוֹעֵץ
advocate,עוֹרֵך דִין
affair,פָּרָשָׁה
affect,להשפיע
afford,לְהַרְשׁוֹת לְעַצמוֹ
afraid,חוֹשֵׁשׁ
African,אַפְרִיקַנִי
African-American,אפריקאי אמריקאי
after,לאחר
afternoon,אחרי הצהריים
again,שוב
against,נגד
age,גיל
agency,סוֹכְנוּת
agenda,סֵדֶר הַיוֹם
agent,סוֹכֵן
aggressive,תוֹקפָּנִי
ago,לִפנֵי
agree,לְהַסכִּים
agreement,הֶסכֵּם
agricultural,חַקלָאִי
ah,ללא שם:
ahead,קָדִימָה
aid,סיוע
aide,עוֹזֵר
AIDS,עזרי
aim,מַטָרָה
air,אוויר
aircraft,כְּלִי טַיִס
airline,חֶברַת תְעוּפָה
airport,שדה תעופה
album,אַלבּוֹם
alcohol,כּוֹהֶל
alive,בחיים
all,את כל
alliance,בְּרִית
allow,להתיר
ally,ברית
almost,כִּמעַט
alone,לבד
along,לְאוֹרֶך
already,כְּבָר
also,גַם
alter,לשנות
alternative,חֲלוּפָה
although,למרות ש
always,תמיד
AM,AM
amazing,מדהים
American,אֲמֶרִיקָאִי
among,בין
amount,כמות
analysis,אָנָלִיזָה
analyst,מְנַתֵחַ
analyze,לְנַתֵחַ
ancient,עָתִיק
and,ו
anger,כַּעַס
angle,זָוִית
angry,כּוֹעֵס
animal,בעל חיים
anniversary,יוֹם הַשָׁנָה
announce,להכריז
annual,שנתי
another,אַחֵר
answer,תשובה
anticipate,לְצַפּוֹת
anxiety,חֲרָדָה
any,כל
anybody,מִישֶׁהוּ
anymore,עוד יותר
anyone,כֹּל אֶחָד
anything,כל דבר
anyway,בכל מקרה
anywhere,בְּכָל מָקוֹם
apart,מלבד
apartment,דִירָה
apparent,נִרְאֶה
apparently,ככל הנראה
appeal,עִרעוּר
appear,לְהוֹפִיעַ
appearance,מראה חיצוני
apple,תפוח עץ
application,יישום
apply,להגיש מועמדות
appoint,לְמַנוֹת
appointment,קביעת פגישה
appreciate,מעריך
approach,גִישָׁה
appropriate,מתאים
approval,הסכמה
approve,לְאַשֵׁר
approximately,בְּעֵרֶך
Arab,ערבי
architect,אַדְרִיכָל
area,אֵזוֹר
argue,לִטעוֹן
argument,טַעֲנָה
arise,לְהִתְעוֹרֵר
arm,זְרוֹעַ
armed,חָמוּשׁ
army,צָבָא
around,סְבִיב
arrange,לְאַרגֵן
arrangement,הֶסדֵר
arrest,מַעְצָר
arrival,הַגָעָה
arrive,לְהַגִיעַ
art,אומנות
article,מאמר
artist,אמן
